港澳频道,#genre#
靖天戏剧台,https://stream1.freetv.fun/jing-tian-xi-ju-4.ctv
靖洋戏剧台,https://stream1.freetv.fun/jing-yang-xi-ju-1.ctv
纬来电影台,https://stream1.freetv.fun/wei-lai-dian-ying-1.m3u8
纬来电影台,https://stream1.freetv.fun/wei-lai-dian-ying-3.m3u8
LALIGATVBAR2,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:00:3D:60&stream=107589
LALIGATVBAR3,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:00:3D:60&stream=107588
SKYSPORTSMAINEVENT,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:00:3D:60&stream=1905853
SKYSPORTS新闻台,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:00:3D:60&stream=1905847
SKYSPORTSPREMIERLEAGUE,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:00:3D:60&stream=1905844
TNT4,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:00:3D:60&stream=1905810
TVB1,http://activefrance.net:80/WJ74AC4SRKQQYR7/pahruAQRs8/269834
TVB1,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:7E:2F:ED&stream=153401
TVBDRAMA,http://activefrance.net:80/WJ74AC4SRKQQYR7/pahruAQRs8/269830
TVBE新闻台,http://31.43.191.125:8080/vip6821768502490/6c17bae55394/34660
TVBJ1,http://activefrance.net:80/WJ74AC4SRKQQYR7/pahruAQRs8/269835
TVBJ1,https://stream1.freetv.fun/fei-cui-tai-bei-mei-ban-1.ctv
TVBe,http://activefrance.net:80/WJ74AC4SRKQQYR7/pahruAQRs8/269832
东森,http://activefrance.net:80/WJ74AC4SRKQQYR7/pahruAQRs8/269923
东森,https://stream1.freetv.fun/dong-sen-mei-zhou-xin-wen-1.m3u8
东森卫视,http://activefrance.net:80/WJ74AC4SRKQQYR7/pahruAQRs8/269926
东森洋片,https://stream1.freetv.fun/dong-sen-yang-pian-3.m3u8
翡翠台,https://stream1.freetv.fun/fei-cui-2.ctv
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-5.ctv
凤凰中文,https://stream1.freetv.fun/2b657a181daa345025199e7d6b8de95a1a87b19abceafbd16e2499a49da33c6f.m3u8
凤凰中文,https://stream1.freetv.fun/4e695e885cc20b20b7e3ec874fe52ed75e27443778c8ff29e498c4c9d7cec4a0.m3u8
凤凰资讯台,https://stream1.freetv.fun/feng-huang-zi-xun-1.m3u8
凤凰资讯台,https://stream1.freetv.fun/a5857ad51b58a0f7a8c9cbdf291571692b0eed9f5ab2cfce97a211260533c0d8.m3u8
公视,http://74.91.26.218:82/live/pts.m3u8
公视台语,http://74.91.26.218:82/live/ptsty.m3u8
华视,http://74.91.26.218:82/live/cts.m3u8
华视新闻资讯台,http://74.91.26.218:82/live/ctsnews.m3u8
寰宇新闻台,https://stream1.freetv.fun/huan-yu-xin-wen-1.m3u8
靖天资讯台,https://stream1.freetv.fun/jing-tian-zi-xun-2.ctv
民视,http://74.91.26.218:82/live/ftv.m3u8
民视第一台,http://74.91.26.218:82/live/ftvdy.m3u8
民视第一台,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv003
民视台湾台,http://74.91.26.218:82/live/ftvtw.m3u8
民视新闻台,https://stream1.freetv.fun/min-shi-xin-wen-2.m3u8
台视,http://74.91.26.218:82/live/ttv.m3u8
台视财经,http://74.91.26.218:82/live/ttvcj.m3u8
台视新闻台,http://74.91.26.218:82/live/ttvnews.m3u8
台视综合台,http://74.91.26.218:82/live/ttvzh.m3u8
天映经典台,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:7E:2F:ED&stream=1919463
天映经典台,https://stream1.freetv.fun/tian-ying-jing-dian-5.m3u8
小公视,http://74.91.26.218:82/live/ptsse.m3u8
