港澳频道,#genre#
AMC电影台,https://stream1.freetv.fun/amcdian-ying-1.m3u8
EYETV戏剧台,http://50.7.234.10:8278/eyetvxiju_twn/playlist.m3u8?tid=ME3E6686724066867240&ct=19254&tsum=728fc49fcd53cd770381ffd87883b1d1
八大戏剧台,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=ME4E4734124647341246&ct=19225&tsum=c4e596572a79ad99675ee2137d1cc43d
八大戏剧台,https://stream1.freetv.fun/ba-da-xi-ju-1.m3u8
东森电影台,http://50.7.234.10:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
靖洋戏剧台,https://stream1.freetv.fun/jing-yang-xi-ju-1.ctv
龙华电影台,http://37.27.111.214:8080/live/19/hls.m3u8
美亚电影台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
三立戏剧台,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?tid=MA8A4626080046260800&ct=19053&tsum=205a453781925ebfb8996c1db8d4ed59
三立戏剧台,https://stream1.freetv.fun/san-li-xi-ju-1.m3u8
TVB翡翠台（备用）,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
TVB华丽,http://php.jdshipin.com/TVOD/iptv.php?id=huali
TVB华丽台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB千禧经典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
TVB星河国语,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB星河国语,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
TVBJ1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
TVBS欢乐台,http://50.7.234.10:8278/tvbshuanle_twn/playlist.m3u8?tid=MBCB7220883472208834&ct=19234&tsum=82bece8e29754b899ffb60e5246dfc74
